id,prompts,images
1,කුඹුර ගොවියාට වී ලබා ගැනීමට උපකාරී වීම් වශයෙන් පිහිට වන්නකි.,sinhala_doc_00001.png
2,එහෙත් ගොවියා වී ලබා ගනුයේ ඔහුගේ මහත් වූ වීර්ය්‍යයෙනි.,sinhala_doc_00002.png
3,ගොවියා ගේ ප්‍රයෝජනය පිණිස අල්ප ව්‍යායාමයකුදු කුඹුර නො කරන්නේ ය.,sinhala_doc_00003.png
4,"එහෙත් කුඹුර නැතිව කොතෙක් උත්සාහ කළත් ගොවියාට වී නො ලැබිය හැකි බැවින්, කුඹුර වී ලබා ගැනීමට ගොවියාට පිහිට වන්නක් සැටියට සැමදෙන ම පිළිගනිති.",sinhala_doc_00004.png
5,මනුෂ්‍යයන් විසින් කුඹුර වටිනා දෙයක් ලෙස පිළිගන්නේ ද ඒ නිසා ම ය.,sinhala_doc_00005.png
6,"ව්‍යායාමයක් නැති බැවින් කුඹුර මනුෂ්‍යයන්ට පිහිටක් නැති දෙයක් නම්, මනුෂ්‍යයෝ එය වටිනා වස්තුවක් ලෙස නො පිළිගනිති.",sinhala_doc_00006.png
7,"සකල පාපමලාපගමයෙන් සුපරිශුද්ධ වූ ද, අර්හත් සර්වඥත්වාදී අපරිමිත ගුණ සාරයෙන් සාරවත් වූ ද, සන්තාන ඇති තථාගතයන් වහන්සේ පින් නමැති උත්තම වස්තුව ලා දීමෙන් සත්ත්වයනට පිහිට වන්නා වූ කුඹුරෙකි.",sinhala_doc_00007.png
8,උන් වහන්සේ කෙරෙහි සිත පහදවා ගැනීම් මාත්‍ර‍ය පවා නොයෙක් වර දෙව් මිනිස් සැප ලැබීමට හේතු වන කුශලයෙකි.,sinhala_doc_00008.png
9,පූජා සත්කාර කිරීමෙන් ලැබිය හැකි කුශලය ගැන කියනුම කිම? එය සියලු දුක් දුරු කර ගැනීමටත් සියලු සම්පත් ලැබීමටත් හේතු වන කුශලයෙකි.,sinhala_doc_00009.png
10,"ඒ මහත් වූ කුශලය තමාගේ ම උත්සාහයෙන් ලබා ගන්නක් වන නමුත් බුදුන් වහන්සේ ඒ සඳහා කරන ව්‍යායාමයක් නැති නමුත්, තථාගතයන් වහන්සේ ලොව පහළ නො වී නම් සත්ත්වයනට ඒ කුශලය ලබා ගත නොහෙන බැවින්",sinhala_doc_00010.png
11,ගොවියාට කුඹුර පිහිට වන්නාක් මෙන් තථාගතයන් වහන්සේ සත්ත්වයනට පිහිට වන බව දත යුතු ය.,sinhala_doc_00011.png
12,අප ශ්‍රී සිද්ධාර්ථ ගෞතම සාක්‍යමුනීන්ද්‍ර‍යන් වහන්සේට මීට චතුරසංඛ්‍ය කල්ප ලක්ෂයකට පෙර ම නිවන් ලැබිය හැකි ව තිබුණේ ය.,sinhala_doc_00012.png
